Location,"Project Title","Federal Contribution",Note
"North Bend, Boston Bar","Harrison East Forest Service Road",450000,
"North end of Kootenay Lake","Duncan Glacier Forest Service Road Bridge Replacement",73000,
"North of Clearwater","Bridge Replacement on Spahats Forest Service Road",47500,
"North of Golden","Rock Slope Remediation on Bush Forest Service Road",130000,
"North of Golden","Bridge replacement on Blaeberry Forest Service Road",93000,
"North of Sparwood and Elkford","Elk River Bridge Replacement",50970,
"North Okanagan","Water Treatment Upgrade",200000,
"North Pender Island","Magic Lake Estates Water System Upgrade",2625000,
"North Saanich","Highway 17 - McTavish Interchange",10500000,
"North Vancouver","Larson Road Bike Route",36675,
"North Vancouver","Lonsdale Energy Corporation Energy Piping on St. George's Avenue to the Gerry Brewer Building",41667,
"North Vancouver","Marine Drive Corridor Improvement",443334,
"North Vancouver","Repaving Chesterfield Avenue, from 1st to 3rd Streets",21667,
"North Vancouver","Repaving Fell Avenue from Marine Drive to 16th Street",50000,
"North Vancouver","Sidewalk Reconstruction - Various locations in Central Lonsdale",16667,
"North Vancouver","Artificial turf sports field",1079666,
"North Vancouver","Bridge rehabilitation",482666,
"North Vancouver","Installation of priority sidewalks in the District of North Vancouver",493333,
"North Vancouver","Lynnmour dyke flood protection",142780,
"North Vancouver","Spirit Trail Harbourside West pedestrian overpass and multi-use trail",800338,
"North Vancouver","Mackay Creek Dike Flood Mitigation - South",474450,
"North Vancouver","Highway 1 Lower Lynn Corridor Improvement",34100000,
"Northern Rockies Regional Municipality (NNRM)","Fort Nelson - Drinking Water Quality, Security of Supply and Energy Efficiency",1290000,
"Oak Bay","Beach Drive Upgrade",160437,
"Okanagan Falls","Okanagan Falls Sewage Treatment Plant",3126666,
Okanagan-Similkameen,"Faulder Water System Improvements",305117,
Osoyoos,"Sewage Lagoon Upgrades",134333,
Osoyoos,"87th Street Reconstruction",196666,
Osoyoos,"Highway 97 - Deadman Passing Lanes",3150000,
Parksville,"Water Distribution Upgrade",46667,
Parksville,"Moilliet Street Upgrade",872771,
Parksville,"Englishman River Water Service (ERWS) ",3000000,
"Peace River Regional District","Construction of the Buick Arena",200000,
Peachland,"Beach Avenue Roadway and Multi-Use Pathway Improvements",1130000,
Pemberton,"One Mile Lake Accessible Trail Improvements",20000,
Pemberton,"Water Metering and Leak Detection",166667,
Pemberton,"Watermain Looping",214620,
Pemberton,"Culvert replacement for the Pemberton Creek dike",39660,
Pemberton,"Pemberton Skate and Bike Park",122618,
Pemberton,"Ayers Dike Upgrade",203921,
"Pemberton area","Lillooet West Road Renewal",60000,
"Pender Harbour","South Pender Harbour Water Treatment Plant",2030000,
Penticton,"Highway 97 Resurfacing",1050000,
Penticton,"Penticton -  West Bench Improvement District Treated Water Supply and Upgrade",1690000,
Penticton,"Penticton Community Centre",7674983,
"Pitt Meadows","Highway 7 Rapid Bus Lane",8000000,
"Pitt Meadows","Construction of an artificial turf playing field",579769,
"Port Alberni","Highway 4 - West of Port Alberni",1395000,
"Port Alberni","Improvements to Nahmint Forest Service Road",40500,
"Port Alberni","Port Alberni China Creek Watermain Replacement Phase 2",583333,
"Port Alberni","Nook Culvert ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Port Alberni","Dry Creek Improvements",912166,
"Port Alberni area","Bridge Replacement on Nahmint 3 Forest Service Road",125000,
"Port Alberni, Qualicum","Highway 4 Barrier Installation",100000,
"Port Alice","Community Centre Upgrade",200000,
"Port Alice","Upgrades to the Port Alice Community Centre",345500,
"Port Clements","Sewage Treatment Facility Upgrade",41142,
"Port Coquitlam","Broadway Street reconstruction",3789649,
"Port Coquitlam","Blakeburn Lagoons Sanitary Settling Pond Remediation ",948666,
"Port Coquitlam/Coquitlam","Highway 7B/7 - Mary Hill Bypass/Port Coquitlam",569500,
"Port Douglas First Nation","Improvements to Harrison West Forest Service Road",180000,
"Port Douglas First Nation","Improvements to Harrison West Forest Service Road",420000,
"Port Edward","Watermain Replacement",200000,
"Port Edward","Replacement of Aging and Failing Water Mains - Phase I",523333,
"Port Hardy","Port Hardy Curling Club Retrofit",64667,
"Port Hardy","Rehabilitation of Roads",775283,
"Port Hardy","Large Creek Box Culvert ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Port Hardy/Port McNiel areas","Bridge Replacements on Roscoe Forest Service Road",135000,
"Port McNeill","Water Line Renewal",1400000,
"Port Moody","Noons Creek Bridge Replacement",501891,
"Port Moody","Barnet Highway Landfill Closure",705500,
"Port Renfrew","Fire Hall and Community Centre Construction and Energy Retrofitting",173333,
"Port Renfrew","Highway 14 - Port Renfrew Area",1633000,
"Pouce Coupe","Pouce Coupe Fire Hall Construction",200000,
"Pouce Coupe","Water Reservoir Project",500000,
"Pouce Coupe","Blockline Road Climbing Lane",961995,
"Pouce Coupe","Lagoon Berm Stabilization",87083,
"Pouce Coupe","Highway 2: Tate Creek North/South and Blockline ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Powell River","Pavement Management",998666,
"Powell River","Westview Terminal in Powell River - Sewage Pump",433125,
"Powell River","Drinking Water Disinfection Upgrade",2828333,
"Powell River area","Improvements to Duck Lake Road",90000,
"Powell River, rural Residences of North Lake","Road Work on North Lake Road",215000,
"Prince George","Old Cariboo Highway and Upper Fraser Road Rehabilitation",906026,
"Prince George","Teardrop-Chief Lake Forest Service Road Realignment and Widening",227500,
"Prince George","Willow-Pitoney Forest Service Road",81125,
"Prince George","2009 Spring Freshet Damage Repair and Drainage Improvements",1023000,
"Prince George","Audible Signal Retrofit Program",56894,
"Prince George","Highway 97 - Stone Creek Bridge",13000000,
"Prince George","Highway 97 Resurfacing",1881793,
"Prince George","Boundary Road Connector",7500000,
"Prince George","Flood relief side channel erosion protection",33306,
"Prince George","Highway 16: Domano/Tyner ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Prince George","Highway 16: Sunny Slope Road ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Prince George","Highway 97: Bentley to Okanagan (2007-2008) ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Prince George","Highway 97: Prince George South Weigh Scale ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Prince George","Highway 97: Simon Fraser Bridge to Stinch ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Prince George","Slope Erosion Protection",395666,
"Prince George","Fraser River Bench Lands Outfall Remediation",470000,
"Prince George Area","Fort George Side Road Improvements",775923,
"Prince George Area","Francois Lake Road - Fraser Lake Road to Birch Bay Road",567900,
"Prince Rupert","Ridley Island Causeway Repairs",250000,
"Prince Rupert","Ridley Island Water Supply",250000,
"Prince Rupert","Atlin Terminal Renovations and Substructure Repair and Seismic Upgrading",1025000,
"Prince Rupert","Enhancements and Development of Community Pathways",50000,
"Prince Rupert","Hays Creek Sewer Relocation",1332108,
"Prince Rupert","Oona River and Oona River Lower Bridges ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Prince Rupert / Port Hardy","Prince Rupert/Port Hardy - Sewage Pump",748440,
Princeton,"Princeton Regional Library",199499,
Princeton,"Tulameen River Bridge Restoration",63000,
Princeton,"Highway 3 Resurfacing",1319000,
Princeton,"Princeton - Burton Flats Dike Upgrades (Similkameen River)",104997,
Pritchard,"Highway 1: Pritchard to Hoffman's Bluff and at Hoffman's Bluff",26900000,
Pritchard,"Expansion of Highway 1 to Chase",18342200,
"Qualicum Beach","Qualicum Beach Roundabout",187500,
"Qualicum Beach","Upgrades to a School Connector Trail",50000,
"Qualicum Beach","Qualicum Beach - Berwick water supply",1126666,
Quesnel,"Dragon Hill/Valhalla Trail",41429,
Quesnel,"Highway 97 - Cody Road to Australian",2950000,
Quesnel,"West Quesnel Land Stability",1577000,
Quesnel,"Deserters Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Quesnel,"Highway 97: Dale to Dragon ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Quesnel,"Highway 97: Hixon Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Radium,"Horsethief Forest Service Road Bridge Replacements",82500,
"Radium Hot Springs","Radium Fire Hall",200000,
"Radium Hot Springs","Columbia Avenue Sidewalk",10000,
"Residence at Theodosia, Powell River","Repairs to Theodosia Road",300000,
Revelstoke,"River Trail",24983,
Revelstoke,"Clearview Heights Sanitary Sewer",419258,
Revelstoke,"Downie Street lift station upgrade",745566,
Revelstoke,"Revelstoke Aquatic Centre Heat Recovery System",176333,
Revelstoke,"Trans-Canada Highway reservoir replacement",322000,
Revelstoke,"Highway 1 ? Illecillewaet",15500000,
Richmond,"Lulu Waterworks Program",2063000,
Richmond,"Port Metro Vancouver - Blundell and No. 8 Road Intersection Traffic Signal and Rail Crossing Improvements Project",341500,
Richmond,"Port Metro Vancouver - North Arm Marine Facilities Capital Improvements",185000,
Richmond,"Port Metro Vancouver - Richmond Office Facility Seismic Upgrades",325000,
Richmond,"Richmond - Lansdowne Road Extension",666666,
Richmond,"Richmond - Nelson Road Interchange Project",6366666,
Richmond,"Sewer Upgrades and Pump Station Construction",1349667,
Richmond,"Fraser Richmond - North Access Road Services Extension Project",520500,
Richmond,"Installation of a Waterline",4724948,
Rossland,"Centre Star Gulch Trail",10212,
Rossland,"Washington Water Main Replacement ",1090850,
Saanich,"Bowker Creek Greenway - Phase 1",117500,
Saanich,"David Foster Arts Centre",1333000,
Saanich,"Boulders climbing gym expansion",684000,
Salmo,"Road Reconstruction",150475,
Salmo,"Carney Mill Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Salmon Arm","Universal Water Metering System",82817,
"Salmon Arm","Roadway infrastructure renewal",801114,
"Salt Spring Island","New Salt Spring Island library",2275492,
Sayward,"Kelsey Centre Rehabilitation and Emergency Generator",102786,
Sayward,"Storm Water Management and Sewer System Rehabilitation",76667,
Sayward,"Highway 19 (Island Highway) - Sayward Area Resurfacing",1845000,
Sechelt,"Road Upgrade",179458,
Sechelt,"Sewer Trunk Line Expansion",251770,
Sechelt,"Highway 101 - Improvements in Sechelt",827000,
Sechelt,"Bio-Solids Treatment Facility",1600000,
Sechelt,"Meadow Creek Culvert ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Sechelt Area","Bridge Replacement on Halfmoon-Carlson Forest Service Road",62500,
"Seymour Arm","Forest Service Roads Improvements - Seymour Arm",500000,
Sicamous,"Mara Water System Extension",161667,
Sicamous,"Sewer Collection",3045433,
Sicamous,"Sicamous Drinking Water Improvements",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Sidney,"Fifth Street sewer lift station decommissioning",88089,
Sidney,"Iroquois Community Park Improvement Project",752802,
Sidney,"Lochside waterfront trail",374171,
"Skeena Queen Charlotte","Sandspit Recreation and Community Hall",186667,
"Slocan Lake Area","Bridge Replacements on Wilson Creek Forest Service Road",233000,
Smithers,"Riverside Campground and Ranger Park Trail Improvements",166667,
Smithers,"Toronto Street to Queen Street Trail Connector",18000,
Smithers,"Highway 16 Resurfacing",1266420,
Smithers,"Highway 16 Resurfacing",819818,
Smithers,"Smithers South Trunk Storm Sewer Project",800000,
Sooke,"Arena upgrade and addition - Sooke",400000,
Sooke,"District of Sooke waterfront recreation area",302884,
Sorrento,"Sorrento Water System Treatment Improvements",714666,
"South Gulf Islands","Saturna and Mayne Island Roads Resurfacing",405000,
"South Hazelton","South Hazelton - water treatment component",567767,
"South of Golden","Spillimacheen-McMurdo Forest Service Road Bridge Replacements",20250,
Spallumcheen,"Otter Lake Cross Road Upgrade",961930,
Sparwood,"Construction of a Trail and Overpass",707000,
Sparwood,"Highway 3: Loop Bridge and CPR Overhead ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Sparwood ,"Sparwood - Elk River Riprap Protection Works",5500,
"Spences Bridge","Spences Bridge Community Water System Upgrade",229666,
Squamish,"O'Siem Community Pavilion",166667,
Squamish,"Boulevard Pump Station",475000,
Squamish,"Government Road trunk sewer main",676983,
Squamish,"Squamish ? Upgrade to Harris Slough Pump Station, Whittaker Slough Floodbox, and Stawamus River Dike",221100,
Squamish,"Squamish dyke riprap",141666,
"Squamish area","Upgrade of Daisy Lake Forest Service Road",175000,
"Squamish, In-Shuck-Ch First Nation","In-Shuck-Ch Forest Service Road Improvements",301500,
"Squamish, In-Shuck-Ch First Nation","In-Shuck-Ch Forest Service Road Renovations",225000,
"Squamish-Lillooet County","Improvement of Blackwater Lake Road",60000,
Stewart,"Two New Environmental Management Systems and a Waste Transfer Station",863306,
Summerland,"Prairie Valley Road and Rosedale Avenue Improvements",1500000,
Summerland,"Summerland - Prairie Creek Stormwater Diversion Works",250983,
Summerland,"Jones Flat and Garnet Valley Water System Separation",2263333,
Summerland/Osoyoos,"Highway 97 Resurfacing - Summerland/Osoyoos",1350000,
"Sunshine Coast","Granthams Landing Water System Upgrade",168667,
Surrey,"Surrey - 96th Avenue Improvements",8000000,
Surrey,"Surrey - Bridgeview Sewer System",2833333,
Surrey,"Surrey Bicycle Network Project",3583333,
Surrey,"Bulkead and Slope Protection - Fraser Surrey Docks",2700000,
Surrey,"Construction of the City Centre Library",10000000,
Surrey,"Container Yard Paving - Fraser Surrey Docks",1500000,
Surrey,"Highway 99 - Nicomekl Bridge Deck Resurfacing",195000,
Surrey,"Highway 99 - South Surrey Cable Barrier",1237000,
Surrey,"Surrey maintenance facility expansion",2500000,
Surrey/Delta,"Highway 99 Rapid Bus - King George Highway to Highway 91",6500000,
"Swartz Bay","Waste Water Treatment in Swartz Bay",1800000,
"Tachie Indian Reserve / Fort St. James","Tachie River Bridge Replacement - Tanizul Forest Service Road",735000,
Tahsis,"Road Reconstruction",176000,
Taylor,"Sewage Treatment Plant Upgrade",183333,
Taylor,"Taylor Local Roads Rehabilitation",1185333,
Taylor,"Improvements to South Taylor Hill on Highway 97",10750000,
Telkwa,"Watermain Replacement - Phase 1",200000,
Terrace,"Frank Street Well Emergency Generator",149143,
Terrace,"Grand Trunk Pathway - Downtown Gateway Project - Phase 2",47112,
Terrace,"Skeena Industrial Development Park Intersection and Access Road",668587,
Terrace,"Dutch Valley - Upstream Bank Stabilization and Erosion Protection",25159,
Terrace,"Highway 16 improvements near Terrace",17525000,
Terrace-Kitimat,"Northwest Regional Airport Facility Expansion",4442357,
"Texada Island","Upgrading the Texada Forest Service Road",100000,
"Thompson Nicola","Water System Improvements",181462,
"Thompson-Nicola Regional District","Rural and Small Municipality Eco-Depot Waste Disposal Project",4736339,
"Thompson-Nicola Regional District","Black Pines Community Water ",448333,
"Thompson-Nicola Regional District","Savona Community Water System Reservoir Project",561000,
"Thompson-Nicola Regional District","Pritchard Community Sewer System Solids Management Project ",153333,
Tofino,"Roundabout Construction",102000,
Tofino,"Tofino-Ucluelet Airport Improvement Project",251500,
Tofino,"Barrs Mountain Reservoir Upgrade ",388430,
"Tofino and Port Alberni","Highway 4: Tofino to Port Alberni ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Tsawwassen,"Tsawwassen Ferry Terminal",1400000,
Tsawwassen,"Tsawwassen Ferry Terminal - Sewage Pump",2480988,
Tsawwassen,"Tsawwassen Ferry Terminal Roof Replacements",36500,
Tsawwassen,"Tsawwassen Industrial Lands Site Servicing Project - Phase 1 ",3012333,
"Tumbler Ridge","Upgrade of the Tumbler Ridge Community Centre",200000,
Ucluelet,"Trail Expansion",31667,
Valemount,"Sewer Lift Station Enhancements",55000,
Valemount,"Watermain Upgrades",87267,
Vancouver,"Lubavitch Centre Renovation",633333,
Vancouver,"Neighbourhood Energy Utility - Distribution System Extension",700000,
Vancouver,"New Sidewalks for Pedestrian Collector Routes",1666700,
Vancouver,"Orpheum Theatre Renovations",1000000,
Vancouver,"Port Metro Vancouver - South Shore Water and Sewer Improvements",387500,
Vancouver,"Port Metro Vancouver Fusion Centre",895000,
Vancouver,"Port Metro Vancouver North Shore - Access Road",60000,
Vancouver,"Port Metro Vancouver North Shore - Lynnterm Terminal Seismic Upgrades",263000,
Vancouver,"Pressure Reducing Valve Station Replacement",666700,
Vancouver,"Queen Elizabeth Park Road Repaving",333333,
Vancouver,"Queen Elizabeth Theatre Plaza Improvements",1686700,
Vancouver,"Rail Bridge Addition - Port Metro Vancouver",6714040,
Vancouver,"Rehabilitation of the Roundhouse Community Centre Plaza",600000,
Vancouver,"Relocation of the Vancouver Main Street Police Station",5000000,
Vancouver,"Salter Street Access Road",50000,
Vancouver,"Science World Restoration",10500000,
Vancouver,"Sewer Upgrades - Greening of the English Bay Interceptor",1666700,
Vancouver,"South Shore Roadway Upgrade - McGill Overpass",300000,
Vancouver,"Stanley Park - Malkin Bowl Performance Centre Upgrade",355000,
Vancouver,"Stanley Park - Pavilion and Fieldhouse Upgrades",195000,
Vancouver,"Stanley Park - Sewer Pump Station Upgrades",500000,
Vancouver,"Stanley Park Road Repaving - Sections of Stanley Park Drive and Pipeline Road",1500000,
Vancouver,"Stanley Park Seawall / Brockton Point Light House Rehabilitation",2000000,
Vancouver,"Trillium Park - Lighting Infrastructure and Field Houses",700000,
Vancouver,"Upper Trout Lake East Sewer Separation",3333300,
Vancouver,"Upper Trout Lake West Sewer Separation",3333300,
Vancouver,"Vancouver Aboriginal Friendship Centre Improvements",41410,
Vancouver,"Vancouver City Hall - Heritage Exterior Rehabilitation Project",1133367,
Vancouver,"VanDusen Botanical Garden - New Visitors Centre",6916666,
Vancouver,"Arterial Streets Rehabilitation - 41st Avenue, Cambie Street to Kingsway",1840428,
Vancouver,"Carnegie Centre - Facility Rehabilitation and Upgrading Program",759573,
Vancouver,"Contracted Distribution Main Replacement - #2 (Kerrisdale and Fraserview)",1666700,
Vancouver,"Contracted Distribution Main Replacement #1",833300,
Vancouver,"Disability Access to Streets and Sidewalks - Curb Ramps",666700,
Vancouver,"English Bay Seawall Improvements - English Bay to Sunset Beach",1000000,
Vancouver,"Expansion of the Multicultural Helping House Society",500000,
Vancouver,"Glen Drive Development - Vancouver Police Department",10000000,
Vancouver,"Grandview Viaduct Rehabilitation - Phase 1 (Bearing and Joints)",666700,
Vancouver,"Healing Lodge and Aboriginal Artists Studio Project",3500000,
Vancouver,"Highway 1 - Iron Workers Memorial Bridge (Second Narrows) Rehabilitation",371000,
Vancouver,"Highway 99 Old Capilano River Bridge and Public Transit Priority",14544000,
Vancouver,"Highway 99 Rapid Bus Lane",4889000,
Vancouver,"Construction of Evergreen Transit",350000000,
Vancouver,"Improvements to the Main Street Station (Expo Line)",8300000,
Vancouver,"Metro Vancouver Advanced Light Rail Transit Upgrade (Expo Line)",400000,
Vancouver,"Metro Vancouver Fibre Optic Upgrade (Expo Line)",1900000,
Vancouver,"Scott Road Station (Expo Line)",1700000,
Vancouver,"Security improvements for Advanced Light Rail Transit",30000000,
Vancouver,"Station expansion (Expo Line)",18300000,
Vancouver,"Upgrades to the Metro Vancouver West Coast Express",9019000,
Vancouver,"Upgrading Metrotown Station (Expo Line)",11600000,
Vancouver,"Vancouver Aquarium revitalization and expansion project",15000000,
Vancouver,"Flood Protection ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Vancouver,"Canada Place roof replacement and repair",20943000,
Vancouver,"Explansion of Killarney Seniors Centre",2500000,
Vancouver,"Highway 1 - Mountain Highway Interchange",12500000,
"Vancouver, Delta, Richmond","Highway 1 and Highway 99 Tunnel Safety Door Replacement",170000,
Vanderhoof,"Retrofitting an Arena for Energy Efficiency",133333,
Vanderhoof,"Highway 16 - Holy Cross Hill Climbing Lane",1202000,
Vanderhoof,"Vanderhoof - 4th Street Improvement Program",1759933,
"Various (10 communities)","Spirit of 2010 Trail",1000000,
Vernon,"Sidewalks and Pathway Project",266906,
Vernon,"Highway 97 - Resurfacing",1150000,
Vernon,"Street Improvements",1048915,
Vernon,"Vernon - Okanagan Landing Flood Protection Works",320000,
Vernon,"Vernon transit maintenance facility",3300000,
Vernon,"Okanagan Landing Flood Protection - Phase 2",603517,
Victoria,"Ogden Point Deep Sea Terminal Pier Expansion",900000,
Victoria,"Upgrades to the First Peoples Gallery of the Royal British Columbia Museum",1350000,
Victoria,"Canadian Pacific Railway Steamship Terminal Building - Seismic Upgrades",1500000,
Victoria,"Galloping Goose Regional Trail Section Upgrade",137693,
Victoria,"Steel watermain rehabilitation - Phase II",1673000,
Victoria,"Johnson Street bridge replacement project",21000000,
Victoria,"The Core Area Wastewater Treatment Program - Conveyance System Upgrades",50000000,
Victoria,"The Core Area Wastewater Treatment Program - McLoughlin Wastewater Treatment Plant and Marine Outfall",120000000,
Walhachin,"Walhachin community water system upgrade",241666,
Wasa,"Highway 93 Resurfacing",1575000,
"West Fernie","West Fernie Dike Upgrade",750000,
"West Kelowna","Gellatly Bay Recreation Corridor Improvements",85000,
"West Kelowna","West Kelowna sewer services extension, phase 2",2550000,
"West Kelowna","Westside - Sewer Services Extension",3000000,
"West of Creston","Maryland Creek Forest Service Road Bridge Replacement",59000,
"West of Kimberley","Bridge Replacement on St. Mary's Forest Service Road",68000,
"West of Merritt","Widening of Spius Creek Forest Service Road",80000,
"West of Nazko","Michelle-Baezaeko Forest Service Road Upgrade",104000,
"West of Nazko","Michelle-Coglistiko Forest Service Road Upgrade",230000,
"West of Nazko","Snaking River Forest Service Road Upgrade",180000,
"West of Nazko","Burrell Creek Bridge Replacement",140000,
"West of Radium","Bridge Replacements on Horsethief-Forester Forest Service Road",46000,
"West Vancouver","West Vancouver Spirit Trail - Greenway",245251,
"West Vancouver","Ambleside Sewer Rehabilitation Project",825600,
"West Vancouver","Highway 1 Resurfacing - Eagleridge Underpass Deck",157500,
"West Vancouver","Highway 1 Resurfacing - Horseshoe Bay Underpass Deck",450000,
"West Vancouver","Highway 1 Resurfacing - Squamish Underpass Deck",275000,
"West Vancouver","Horseshoe Bay - New Overhead Walkway to Nanaimo Lanes",650000,
"West Vancouver and District of North Vancouver","Capilano Road improvements",18000000,
Whistler,"Valley Trail - Function Junction to Spring Creek",187500,
Whistler/Pemberton,"Highway 99 Resurfacing",1739000,
"White Rock","Sidewalk Improvements - Vine Avenue at Hospital Street",19169,
"White Rock","Sidewalk Improvements - Vine Avenue at Oxford Street",24591,
"White Rock","Centre for Active Living Facility",1080530,
"White Rock","Pedestrian improvements initiative",493600,
"White Rock","Revitalization - White Rock Museum and Archives",458667,
"Williams Lake","Kiwanis Park Accessible Playground Project",70000,
"Williams Lake","Mackenzie Avenue Resurfacing",3500000,
"Williams Lake","Tourism Discovery Conference Centre Basement Renovation",66667,
"Williams Lake","Williams Lake Air Tanker Base",704500,
Windermere,"Windermere and Timber Ridge Bulk Water Supply and Water Meter Installation Project",1030333,
Yahk,"Highway 3 Resurfacing",902896,
"Yahk and Cranbrook","Highway 3: Fort Steele and Yahk Bridges ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Yale,"Highway 1 Resurfacing - North of Yale",1710000,
Zeballos,"Answer Creek Culvert ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Zeballos, Fair Harbour, Occlouje","Zeballos Road Improvements",387000,
